2017,Virginia,District 77,Write-In,Write In,110,False
2017,Virginia,District 78,Republican Party,"J. A. ""Jay"" Leftwich, Jr.",20768,True
2017,Virginia,District 78,Write-In,Write In,1152,False
2017,Virginia,District 79,Democratic Party,Steve E. Heretick,12864,True
2017,Virginia,District 79,Write-In,Write In,636,False
2017,Virginia,District 80,Democratic Party,Matthew James,20292,True
2017,Virginia,District 80,Write-In,Write In,640,False
2017,Virginia,District 81,Democratic Party,Kimberly Anne Tucker,9127,False
2017,Virginia,District 81,Republican Party,Barry D. Knight,13162,True
2017,Virginia,District 81,Write-In,Write In,38,False
2017,Virginia,District 82,Democratic Party,Leigh Anne Bowling,11174,False
2017,Virginia,District 82,Republican Party,Jason S. Miyares,16048,True
2017,Virginia,District 82,Write-In,Write In,27,False
2017,Virginia,District 83,Democratic Party,David E. Rose-Carmack,10077,False
2017,Virginia,District 83,Republican Party,Chris P. Stolle,13173,True
2017,Virginia,District 83,Write-In,Write In,28,False
2017,Virginia,District 84,Democratic Party,Veronica R. Coleman,10093,False
2017,Virginia,District 84,Republican Party,"Glenn R. Davis, Jr.",10835,True
2017,Virginia,District 84,Write-In,Write In,48,False
2017,Virginia,District 85,Democratic Party,Cheryl B. Turpin,11843,True
2017,Virginia,District 85,Republican Party,"N. D. ""Rocky"" Holcomb III",11454,False
2017,Virginia,District 85,Write-In,Write In,48,False
2017,Virginia,District 86,Democratic Party,Jennifer B. Boysko,16865,True
2017,Virginia,District 86,Republican Party,Linda C. Schulz,7707,False
2017,Virginia,District 86,Write-In,Write In,40,False
2017,Virginia,District 87,Democratic Party,John J. Bell,18234,True
2017,Virginia,District 87,Republican Party,Subba R. Kolla,11236,False
2017,Virginia,District 87,Write-In,Write In,66,False
2017,Virginia,District 88,Democratic Party,Steve R. Aycock,9918,False
2017,Virginia,District 88,Republican Party,Mark L. Cole,14022,True
2017,Virginia,District 88,Green Party,Gerald L. Anderson,255,False
2017,Virginia,District 88,Independent Party,Amanda M. Blalock,2373,False
2017,Virginia,District 88,Write-In,Write In,37,False
2017,Virginia,District 89,Democratic Party,"Jerrauld C. ""Jay"" Jones",16541,True
2017,Virginia,District 89,Libertarian Party,Terry Richard Hurst,2944,False
2017,Virginia,District 89,Write-In,Write In,92,False
2017,Virginia,District 90,Democratic Party,"Joseph C. ""Joe"" Lindsey",15996,True
2017,Virginia,District 90,Write-In,Write In,446,False
2017,Virginia,District 91,Democratic Party,Michael B. Wade,10764,False
2017,Virginia,District 91,Republican Party,"Gordon C. Helsel, Jr.",13877,True
2017,Virginia,District 91,Write-In,Write In,43,False
2017,Virginia,District 92,Democratic Party,Jeion A. Ward,18873,True
2017,Virginia,District 92,Write-In,Write In,517,False
2017,Virginia,District 93,Democratic Party,Michael P. Mullin,15988,True
2017,Virginia,District 93,Republican Party,Heather L. Cordasco,10625,False
